:START_ID(KG),:END_ID(KG),:TYPE,id,relation,evidence_code,knowledge_level,agent_type,provided_by,source
NCBIGene:89,GO:0048633,INVOLVED_IN,edge:0008342,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0048743,INVOLVED_IN,edge:0008343,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0055001,INVOLVED_IN,edge:0008345,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0060349,INVOLVED_IN,edge:0008346,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0070885,INVOLVED_IN,edge:0008348,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0090257,INVOLVED_IN,edge:0008349,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0090324,INVOLVED_IN,edge:0008350,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0120163,INVOLVED_IN,edge:0008351,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:1900159,INVOLVED_IN,edge:0008352,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:1901078,INVOLVED_IN,edge:0008353,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:1903715,INVOLVED_IN,edge:0008354,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:1904025,INVOLVED_IN,edge:0008355,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0003091,INVOLVED_IN,edge:0008357,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0006171,INVOLVED_IN,edge:0008365,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0007165,INVOLVED_IN,edge:0008366,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0007189,INVOLVED_IN,edge:0008367,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0007204,INVOLVED_IN,edge:0008368,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0007611,INVOLVED_IN,edge:0008369,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0007613,INVOLVED_IN,edge:0008370,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0007626,INVOLVED_IN,edge:0008371,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0009190,INVOLVED_IN,edge:0008373,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0010255,INVOLVED_IN,edge:0008374,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0031915,INVOLVED_IN,edge:0008386,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0032024,INVOLVED_IN,edge:0008387,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0034199,INVOLVED_IN,edge:0008389,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0035556,INVOLVED_IN,edge:0008390,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
